unicode,emoji,cldr,cldr_link
U+1F1E6 U+1F1FA,🇦🇺,flag: Australia,flag-australia
U+1F1E6 U+1F1FC,🇦🇼,flag: Aruba,flag-aruba
U+1F1E6 U+1F1FD,🇦🇽,flag: Åland Islands,flag-aland-islands
U+1F1E6 U+1F1FF,🇦🇿,flag: Azerbaijan,flag-azerbaijan
U+1F1E7 U+1F1E6,🇧🇦,flag: Bosnia & Herzegovina,flag-bosnia-herzegovina
U+1F1E7 U+1F1E7,🇧🇧,flag: Barbados,flag-barbados
U+1F1E7 U+1F1E9,🇧🇩,flag: Bangladesh,flag-bangladesh
U+1F1E7 U+1F1EA,🇧🇪,flag: Belgium,flag-belgium
U+1F1E7 U+1F1EB,🇧🇫,flag: Burkina Faso,flag-burkina-faso
U+1F1E7 U+1F1EC,🇧🇬,flag: Bulgaria,flag-bulgaria
U+1F1E7 U+1F1ED,🇧🇭,flag: Bahrain,flag-bahrain
U+1F1E7 U+1F1EE,🇧🇮,flag: Burundi,flag-burundi
U+1F1E7 U+1F1EF,🇧🇯,flag: Benin,flag-benin
U+1F1E7 U+1F1F1,🇧🇱,flag: St. Barthélemy,flag-st-barthelemy
U+1F1E7 U+1F1F2,🇧🇲,flag: Bermuda,flag-bermuda
U+1F1E7 U+1F1F3,🇧🇳,flag: Brunei,flag-brunei
U+1F1E7 U+1F1F4,🇧🇴,flag: Bolivia,flag-bolivia
U+1F1E7 U+1F1F6,🇧🇶,flag: Caribbean Netherlands,flag-caribbean-netherlands
U+1F1E7 U+1F1F7,🇧🇷,flag: Brazil,flag-brazil
U+1F1E7 U+1F1F8,🇧🇸,flag: Bahamas,flag-bahamas
U+1F1E7 U+1F1F9,🇧🇹,flag: Bhutan,flag-bhutan
U+1F1E7 U+1F1FB,🇧🇻,flag: Bouvet Island,flag-bouvet-island
U+1F1E7 U+1F1FC,🇧🇼,flag: Botswana,flag-botswana
U+1F1E7 U+1F1FE,🇧🇾,flag: Belarus,flag-belarus
U+1F1E7 U+1F1FF,🇧🇿,flag: Belize,flag-belize
U+1F1E8 U+1F1E6,🇨🇦,flag: Canada,flag-canada
U+1F1E8 U+1F1E8,🇨🇨,flag: Cocos (Keeling) Islands,flag-cocos-keeling-islands
U+1F1E8 U+1F1E9,🇨🇩,flag: Congo - Kinshasa,flag-congo-kinshasa
U+1F1E8 U+1F1EB,🇨🇫,flag: Central African Republic,flag-central-african-republic
