unicode,emoji,cldr,cldr_link
U+1F469 U+1F3FF U+200D U+1F680,👩🏿‍🚀,woman astronaut: dark skin tone,woman-astronaut-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F692,🧑🏻‍🚒,firefighter: light skin tone,firefighter-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F692,🧑🏼‍🚒,firefighter: medium-light skin tone,firefighter-medium-light-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F692,🧑🏽‍🚒,firefighter: medium skin tone,firefighter-medium-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F692,🧑🏾‍🚒,firefighter: medium-dark skin tone,firefighter-medium-dark-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F692,🧑🏿‍🚒,firefighter: dark skin tone,firefighter-dark-skin-tone
U+1F468 U+1F3FB U+200D U+1F692,👨🏻‍🚒,man firefighter: light skin tone,man-firefighter-light-skin-tone
U+1F468 U+1F3FC U+200D U+1F692,👨🏼‍🚒,man firefighter: medium-light skin tone,man-firefighter-medium-light-skin-tone
U+1F468 U+1F3FD U+200D U+1F692,👨🏽‍🚒,man firefighter: medium skin tone,man-firefighter-medium-skin-tone
U+1F468 U+1F3FE U+200D U+1F692,👨🏾‍🚒,man firefighter: medium-dark skin tone,man-firefighter-medium-dark-skin-tone
U+1F468 U+1F3FF U+200D U+1F692,👨🏿‍🚒,man firefighter: dark skin tone,man-firefighter-dark-skin-tone
U+1F469 U+1F3FB U+200D U+1F692,👩🏻‍🚒,woman firefighter: light skin tone,woman-firefighter-light-skin-tone
U+1F469 U+1F3FC U+200D U+1F692,👩🏼‍🚒,woman firefighter: medium-light skin tone,woman-firefighter-medium-light-skin-tone
U+1F469 U+1F3FD U+200D U+1F692,👩🏽‍🚒,woman firefighter: medium skin tone,woman-firefighter-medium-skin-tone
U+1F469 U+1F3FE U+200D U+1F692,👩🏾‍🚒,woman firefighter: medium-dark skin tone,woman-firefighter-medium-dark-skin-tone
U+1F469 U+1F3FF U+200D U+1F692,👩🏿‍🚒,woman firefighter: dark skin tone,woman-firefighter-dark-skin-tone
U+1F46E U+1F3FB,👮🏻,police officer: light skin tone,police-officer-light-skin-tone
U+1F46E U+1F3FC,👮🏼,police officer: medium-light skin tone,police-officer-medium-light-skin-tone
U+1F46E U+1F3FD,👮🏽,police officer: medium skin tone,police-officer-medium-skin-tone
U+1F46E U+1F3FE,👮🏾,police officer: medium-dark skin tone,police-officer-medium-dark-skin-tone
U+1F46E U+1F3FF,👮🏿,police officer: dark skin tone,police-officer-dark-skin-tone
U+1F46E U+1F3FB U+200D U+2642 U+FE0F,👮🏻‍♂️,man police officer: light skin tone,man-police-officer-light-skin-tone
U+1F46E U+1F3FC U+200D U+2642 U+FE0F,👮🏼‍♂️,man police officer: medium-light skin tone,man-police-officer-medium-light-skin-tone
U+1F46E U+1F3FD U+200D U+2642 U+FE0F,👮🏽‍♂️,man police officer: medium skin tone,man-police-officer-medium-skin-tone
U+1F46E U+1F3FE U+200D U+2642 U+FE0F,👮🏾‍♂️,man police officer: medium-dark skin tone,man-police-officer-medium-dark-skin-tone
U+1F46E U+1F3FF U+200D U+2642 U+FE0F,👮🏿‍♂️,man police officer: dark skin tone,man-police-officer-dark-skin-tone
U+1F46E U+1F3FB U+200D U+2640 U+FE0F,👮🏻‍♀️,woman police officer: light skin tone,woman-police-officer-light-skin-tone
U+1F46E U+1F3FC U+200D U+2640 U+FE0F,👮🏼‍♀️,woman police officer: medium-light skin tone,woman-police-officer-medium-light-skin-tone
U+1F46E U+1F3FD U+200D U+2640 U+FE0F,👮🏽‍♀️,woman police officer: medium skin tone,woman-police-officer-medium-skin-tone
U+1F46E U+1F3FE U+200D U+2640 U+FE0F,👮🏾‍♀️,woman police officer: medium-dark skin tone,woman-police-officer-medium-dark-skin-tone
U+1F46E U+1F3FF U+200D U+2640 U+FE0F,👮🏿‍♀️,woman police officer: dark skin tone,woman-police-officer-dark-skin-tone
U+1F575 U+1F3FB,🕵🏻,detective: light skin tone,detective-light-skin-tone
U+1F575 U+1F3FC,🕵🏼,detective: medium-light skin tone,detective-medium-light-skin-tone
U+1F575 U+1F3FD,🕵🏽,detective: medium skin tone,detective-medium-skin-tone
U+1F575 U+1F3FE,🕵🏾,detective: medium-dark skin tone,detective-medium-dark-skin-tone
U+1F575 U+1F3FF,🕵🏿,detective: dark skin tone,detective-dark-skin-tone
U+1F575 U+1F3FB U+200D U+2642 U+FE0F,🕵🏻‍♂️,man detective: light skin tone,man-detective-light-skin-tone
U+1F575 U+1F3FC U+200D U+2642 U+FE0F,🕵🏼‍♂️,man detective: medium-light skin tone,man-detective-medium-light-skin-tone
U+1F575 U+1F3FD U+200D U+2642 U+FE0F,🕵🏽‍♂️,man detective: medium skin tone,man-detective-medium-skin-tone
U+1F575 U+1F3FE U+200D U+2642 U+FE0F,🕵🏾‍♂️,man detective: medium-dark skin tone,man-detective-medium-dark-skin-tone
U+1F575 U+1F3FF U+200D U+2642 U+FE0F,🕵🏿‍♂️,man detective: dark skin tone,man-detective-dark-skin-tone
U+1F575 U+1F3FB U+200D U+2640 U+FE0F,🕵🏻‍♀️,woman detective: light skin tone,woman-detective-light-skin-tone
U+1F575 U+1F3FC U+200D U+2640 U+FE0F,🕵🏼‍♀️,woman detective: medium-light skin tone,woman-detective-medium-light-skin-tone
U+1F575 U+1F3FD U+200D U+2640 U+FE0F,🕵🏽‍♀️,woman detective: medium skin tone,woman-detective-medium-skin-tone
U+1F575 U+1F3FE U+200D U+2640 U+FE0F,🕵🏾‍♀️,woman detective: medium-dark skin tone,woman-detective-medium-dark-skin-tone
U+1F575 U+1F3FF U+200D U+2640 U+FE0F,🕵🏿‍♀️,woman detective: dark skin tone,woman-detective-dark-skin-tone
U+1F482 U+1F3FB,💂🏻,guard: light skin tone,guard-light-skin-tone
U+1F482 U+1F3FC,💂🏼,guard: medium-light skin tone,guard-medium-light-skin-tone
U+1F482 U+1F3FD,💂🏽,guard: medium skin tone,guard-medium-skin-tone
U+1F482 U+1F3FE,💂🏾,guard: medium-dark skin tone,guard-medium-dark-skin-tone
U+1F482 U+1F3FF,💂🏿,guard: dark skin tone,guard-dark-skin-tone
U+1F482 U+1F3FB U+200D U+2642 U+FE0F,💂🏻‍♂️,man guard: light skin tone,man-guard-light-skin-tone
U+1F482 U+1F3FC U+200D U+2642 U+FE0F,💂🏼‍♂️,man guard: medium-light skin tone,man-guard-medium-light-skin-tone
U+1F482 U+1F3FD U+200D U+2642 U+FE0F,💂🏽‍♂️,man guard: medium skin tone,man-guard-medium-skin-tone
U+1F482 U+1F3FE U+200D U+2642 U+FE0F,💂🏾‍♂️,man guard: medium-dark skin tone,man-guard-medium-dark-skin-tone
U+1F482 U+1F3FF U+200D U+2642 U+FE0F,💂🏿‍♂️,man guard: dark skin tone,man-guard-dark-skin-tone
U+1F482 U+1F3FB U+200D U+2640 U+FE0F,💂🏻‍♀️,woman guard: light skin tone,woman-guard-light-skin-tone
U+1F482 U+1F3FC U+200D U+2640 U+FE0F,💂🏼‍♀️,woman guard: medium-light skin tone,woman-guard-medium-light-skin-tone
U+1F482 U+1F3FD U+200D U+2640 U+FE0F,💂🏽‍♀️,woman guard: medium skin tone,woman-guard-medium-skin-tone
U+1F482 U+1F3FE U+200D U+2640 U+FE0F,💂🏾‍♀️,woman guard: medium-dark skin tone,woman-guard-medium-dark-skin-tone
U+1F482 U+1F3FF U+200D U+2640 U+FE0F,💂🏿‍♀️,woman guard: dark skin tone,woman-guard-dark-skin-tone
U+1F977 U+1F3FB,🥷🏻,ninja: light skin tone,ninja-light-skin-tone
U+1F977 U+1F3FC,🥷🏼,ninja: medium-light skin tone,ninja-medium-light-skin-tone
U+1F977 U+1F3FD,🥷🏽,ninja: medium skin tone,ninja-medium-skin-tone
U+1F977 U+1F3FE,🥷🏾,ninja: medium-dark skin tone,ninja-medium-dark-skin-tone
U+1F977 U+1F3FF,🥷🏿,ninja: dark skin tone,ninja-dark-skin-tone
U+1F477 U+1F3FB,👷🏻,construction worker: light skin tone,construction-worker-light-skin-tone
U+1F477 U+1F3FC,👷🏼,construction worker: medium-light skin tone,construction-worker-medium-light-skin-tone
U+1F477 U+1F3FD,👷🏽,construction worker: medium skin tone,construction-worker-medium-skin-tone
U+1F477 U+1F3FE,👷🏾,construction worker: medium-dark skin tone,construction-worker-medium-dark-skin-tone
U+1F477 U+1F3FF,👷🏿,construction worker: dark skin tone,construction-worker-dark-skin-tone
U+1F477 U+1F3FB U+200D U+2642 U+FE0F,👷🏻‍♂️,man construction worker: light skin tone,man-construction-worker-light-skin-tone
U+1F477 U+1F3FC U+200D U+2642 U+FE0F,👷🏼‍♂️,man construction worker: medium-light skin tone,man-construction-worker-medium-light-skin-tone
U+1F477 U+1F3FD U+200D U+2642 U+FE0F,👷🏽‍♂️,man construction worker: medium skin tone,man-construction-worker-medium-skin-tone
U+1F477 U+1F3FE U+200D U+2642 U+FE0F,👷🏾‍♂️,man construction worker: medium-dark skin tone,man-construction-worker-medium-dark-skin-tone
U+1F477 U+1F3FF U+200D U+2642 U+FE0F,👷🏿‍♂️,man construction worker: dark skin tone,man-construction-worker-dark-skin-tone
U+1F477 U+1F3FB U+200D U+2640 U+FE0F,👷🏻‍♀️,woman construction worker: light skin tone,woman-construction-worker-light-skin-tone
U+1F477 U+1F3FC U+200D U+2640 U+FE0F,👷🏼‍♀️,woman construction worker: medium-light skin tone,woman-construction-worker-medium-light-skin-tone
U+1F477 U+1F3FD U+200D U+2640 U+FE0F,👷🏽‍♀️,woman construction worker: medium skin tone,woman-construction-worker-medium-skin-tone
U+1F477 U+1F3FE U+200D U+2640 U+FE0F,👷🏾‍♀️,woman construction worker: medium-dark skin tone,woman-construction-worker-medium-dark-skin-tone
U+1F477 U+1F3FF U+200D U+2640 U+FE0F,👷🏿‍♀️,woman construction worker: dark skin tone,woman-construction-worker-dark-skin-tone
U+1FAC5 U+1F3FB,🫅🏻,person with crown: light skin tone,person-with-crown-light-skin-tone
U+1FAC5 U+1F3FC,🫅🏼,person with crown: medium-light skin tone,person-with-crown-medium-light-skin-tone
U+1FAC5 U+1F3FD,🫅🏽,person with crown: medium skin tone,person-with-crown-medium-skin-tone
U+1FAC5 U+1F3FE,🫅🏾,person with crown: medium-dark skin tone,person-with-crown-medium-dark-skin-tone
U+1FAC5 U+1F3FF,🫅🏿,person with crown: dark skin tone,person-with-crown-dark-skin-tone
U+1F934 U+1F3FB,🤴🏻,prince: light skin tone,prince-light-skin-tone
U+1F934 U+1F3FC,🤴🏼,prince: medium-light skin tone,prince-medium-light-skin-tone
U+1F934 U+1F3FD,🤴🏽,prince: medium skin tone,prince-medium-skin-tone
U+1F934 U+1F3FE,🤴🏾,prince: medium-dark skin tone,prince-medium-dark-skin-tone
U+1F934 U+1F3FF,🤴🏿,prince: dark skin tone,prince-dark-skin-tone
U+1F478 U+1F3FB,👸🏻,princess: light skin tone,princess-light-skin-tone
U+1F478 U+1F3FC,👸🏼,princess: medium-light skin tone,princess-medium-light-skin-tone
U+1F478 U+1F3FD,👸🏽,princess: medium skin tone,princess-medium-skin-tone
U+1F478 U+1F3FE,👸🏾,princess: medium-dark skin tone,princess-medium-dark-skin-tone
U+1F478 U+1F3FF,👸🏿,princess: dark skin tone,princess-dark-skin-tone
U+1F473 U+1F3FB,👳🏻,person wearing turban: light skin tone,person-wearing-turban-light-skin-tone
U+1F473 U+1F3FC,👳🏼,person wearing turban: medium-light skin tone,person-wearing-turban-medium-light-skin-tone
U+1F473 U+1F3FD,👳🏽,person wearing turban: medium skin tone,person-wearing-turban-medium-skin-tone
U+1F473 U+1F3FE,👳🏾,person wearing turban: medium-dark skin tone,person-wearing-turban-medium-dark-skin-tone
U+1F473 U+1F3FF,👳🏿,person wearing turban: dark skin tone,person-wearing-turban-dark-skin-tone
U+1F473 U+1F3FB U+200D U+2642 U+FE0F,👳🏻‍♂️,man wearing turban: light skin tone,man-wearing-turban-light-skin-tone
U+1F473 U+1F3FC U+200D U+2642 U+FE0F,👳🏼‍♂️,man wearing turban: medium-light skin tone,man-wearing-turban-medium-light-skin-tone
U+1F473 U+1F3FD U+200D U+2642 U+FE0F,👳🏽‍♂️,man wearing turban: medium skin tone,man-wearing-turban-medium-skin-tone
U+1F473 U+1F3FE U+200D U+2642 U+FE0F,👳🏾‍♂️,man wearing turban: medium-dark skin tone,man-wearing-turban-medium-dark-skin-tone
U+1F473 U+1F3FF U+200D U+2642 U+FE0F,👳🏿‍♂️,man wearing turban: dark skin tone,man-wearing-turban-dark-skin-tone
U+1F473 U+1F3FB U+200D U+2640 U+FE0F,👳🏻‍♀️,woman wearing turban: light skin tone,woman-wearing-turban-light-skin-tone
U+1F473 U+1F3FC U+200D U+2640 U+FE0F,👳🏼‍♀️,woman wearing turban: medium-light skin tone,woman-wearing-turban-medium-light-skin-tone
U+1F473 U+1F3FD U+200D U+2640 U+FE0F,👳🏽‍♀️,woman wearing turban: medium skin tone,woman-wearing-turban-medium-skin-tone
U+1F473 U+1F3FE U+200D U+2640 U+FE0F,👳🏾‍♀️,woman wearing turban: medium-dark skin tone,woman-wearing-turban-medium-dark-skin-tone
U+1F473 U+1F3FF U+200D U+2640 U+FE0F,👳🏿‍♀️,woman wearing turban: dark skin tone,woman-wearing-turban-dark-skin-tone
U+1F472 U+1F3FB,👲🏻,person with skullcap: light skin tone,person-with-skullcap-light-skin-tone
U+1F472 U+1F3FC,👲🏼,person with skullcap: medium-light skin tone,person-with-skullcap-medium-light-skin-tone
U+1F472 U+1F3FD,👲🏽,person with skullcap: medium skin tone,person-with-skullcap-medium-skin-tone
U+1F472 U+1F3FE,👲🏾,person with skullcap: medium-dark skin tone,person-with-skullcap-medium-dark-skin-tone
U+1F472 U+1F3FF,👲🏿,person with skullcap: dark skin tone,person-with-skullcap-dark-skin-tone
U+1F9D5 U+1F3FB,🧕🏻,woman with headscarf: light skin tone,woman-with-headscarf-light-skin-tone
U+1F9D5 U+1F3FC,🧕🏼,woman with headscarf: medium-light skin tone,woman-with-headscarf-medium-light-skin-tone
U+1F9D5 U+1F3FD,🧕🏽,woman with headscarf: medium skin tone,woman-with-headscarf-medium-skin-tone
U+1F9D5 U+1F3FE,🧕🏾,woman with headscarf: medium-dark skin tone,woman-with-headscarf-medium-dark-skin-tone
U+1F9D5 U+1F3FF,🧕🏿,woman with headscarf: dark skin tone,woman-with-headscarf-dark-skin-tone
U+1F935 U+1F3FB,🤵🏻,person in tuxedo: light skin tone,person-in-tuxedo-light-skin-tone
U+1F935 U+1F3FC,🤵🏼,person in tuxedo: medium-light skin tone,person-in-tuxedo-medium-light-skin-tone
U+1F935 U+1F3FD,🤵🏽,person in tuxedo: medium skin tone,person-in-tuxedo-medium-skin-tone
U+1F935 U+1F3FE,🤵🏾,person in tuxedo: medium-dark skin tone,person-in-tuxedo-medium-dark-skin-tone
U+1F935 U+1F3FF,🤵🏿,person in tuxedo: dark skin tone,person-in-tuxedo-dark-skin-tone
U+1F935 U+1F3FB U+200D U+2642 U+FE0F,🤵🏻‍♂️,man in tuxedo: light skin tone,man-in-tuxedo-light-skin-tone
U+1F935 U+1F3FC U+200D U+2642 U+FE0F,🤵🏼‍♂️,man in tuxedo: medium-light skin tone,man-in-tuxedo-medium-light-skin-tone
U+1F935 U+1F3FD U+200D U+2642 U+FE0F,🤵🏽‍♂️,man in tuxedo: medium skin tone,man-in-tuxedo-medium-skin-tone
U+1F935 U+1F3FE U+200D U+2642 U+FE0F,🤵🏾‍♂️,man in tuxedo: medium-dark skin tone,man-in-tuxedo-medium-dark-skin-tone
U+1F935 U+1F3FF U+200D U+2642 U+FE0F,🤵🏿‍♂️,man in tuxedo: dark skin tone,man-in-tuxedo-dark-skin-tone
U+1F935 U+1F3FB U+200D U+2640 U+FE0F,🤵🏻‍♀️,woman in tuxedo: light skin tone,woman-in-tuxedo-light-skin-tone
U+1F935 U+1F3FC U+200D U+2640 U+FE0F,🤵🏼‍♀️,woman in tuxedo: medium-light skin tone,woman-in-tuxedo-medium-light-skin-tone
U+1F935 U+1F3FD U+200D U+2640 U+FE0F,🤵🏽‍♀️,woman in tuxedo: medium skin tone,woman-in-tuxedo-medium-skin-tone
U+1F935 U+1F3FE U+200D U+2640 U+FE0F,🤵🏾‍♀️,woman in tuxedo: medium-dark skin tone,woman-in-tuxedo-medium-dark-skin-tone
U+1F935 U+1F3FF U+200D U+2640 U+FE0F,🤵🏿‍♀️,woman in tuxedo: dark skin tone,woman-in-tuxedo-dark-skin-tone
U+1F470 U+1F3FB,👰🏻,person with veil: light skin tone,person-with-veil-light-skin-tone
U+1F470 U+1F3FC,👰🏼,person with veil: medium-light skin tone,person-with-veil-medium-light-skin-tone
U+1F470 U+1F3FD,👰🏽,person with veil: medium skin tone,person-with-veil-medium-skin-tone
U+1F470 U+1F3FE,👰🏾,person with veil: medium-dark skin tone,person-with-veil-medium-dark-skin-tone
U+1F470 U+1F3FF,👰🏿,person with veil: dark skin tone,person-with-veil-dark-skin-tone
U+1F470 U+1F3FB U+200D U+2642 U+FE0F,👰🏻‍♂️,man with veil: light skin tone,man-with-veil-light-skin-tone
U+1F470 U+1F3FC U+200D U+2642 U+FE0F,👰🏼‍♂️,man with veil: medium-light skin tone,man-with-veil-medium-light-skin-tone
U+1F470 U+1F3FD U+200D U+2642 U+FE0F,👰🏽‍♂️,man with veil: medium skin tone,man-with-veil-medium-skin-tone
U+1F470 U+1F3FE U+200D U+2642 U+FE0F,👰🏾‍♂️,man with veil: medium-dark skin tone,man-with-veil-medium-dark-skin-tone
U+1F470 U+1F3FF U+200D U+2642 U+FE0F,👰🏿‍♂️,man with veil: dark skin tone,man-with-veil-dark-skin-tone
U+1F470 U+1F3FB U+200D U+2640 U+FE0F,👰🏻‍♀️,woman with veil: light skin tone,woman-with-veil-light-skin-tone
U+1F470 U+1F3FC U+200D U+2640 U+FE0F,👰🏼‍♀️,woman with veil: medium-light skin tone,woman-with-veil-medium-light-skin-tone
U+1F470 U+1F3FD U+200D U+2640 U+FE0F,👰🏽‍♀️,woman with veil: medium skin tone,woman-with-veil-medium-skin-tone
U+1F470 U+1F3FE U+200D U+2640 U+FE0F,👰🏾‍♀️,woman with veil: medium-dark skin tone,woman-with-veil-medium-dark-skin-tone
U+1F470 U+1F3FF U+200D U+2640 U+FE0F,👰🏿‍♀️,woman with veil: dark skin tone,woman-with-veil-dark-skin-tone
U+1F930 U+1F3FB,🤰🏻,pregnant woman: light skin tone,pregnant-woman-light-skin-tone
U+1F930 U+1F3FC,🤰🏼,pregnant woman: medium-light skin tone,pregnant-woman-medium-light-skin-tone
U+1F930 U+1F3FD,🤰🏽,pregnant woman: medium skin tone,pregnant-woman-medium-skin-tone
U+1F930 U+1F3FE,🤰🏾,pregnant woman: medium-dark skin tone,pregnant-woman-medium-dark-skin-tone
U+1F930 U+1F3FF,🤰🏿,pregnant woman: dark skin tone,pregnant-woman-dark-skin-tone
U+1FAC3 U+1F3FB,🫃🏻,pregnant man: light skin tone,pregnant-man-light-skin-tone
U+1FAC3 U+1F3FC,🫃🏼,pregnant man: medium-light skin tone,pregnant-man-medium-light-skin-tone
U+1FAC3 U+1F3FD,🫃🏽,pregnant man: medium skin tone,pregnant-man-medium-skin-tone
U+1FAC3 U+1F3FE,🫃🏾,pregnant man: medium-dark skin tone,pregnant-man-medium-dark-skin-tone
U+1FAC3 U+1F3FF,🫃🏿,pregnant man: dark skin tone,pregnant-man-dark-skin-tone
U+1FAC4 U+1F3FB,🫄🏻,pregnant person: light skin tone,pregnant-person-light-skin-tone
U+1FAC4 U+1F3FC,🫄🏼,pregnant person: medium-light skin tone,pregnant-person-medium-light-skin-tone
U+1FAC4 U+1F3FD,🫄🏽,pregnant person: medium skin tone,pregnant-person-medium-skin-tone
U+1FAC4 U+1F3FE,🫄🏾,pregnant person: medium-dark skin tone,pregnant-person-medium-dark-skin-tone
U+1FAC4 U+1F3FF,🫄🏿,pregnant person: dark skin tone,pregnant-person-dark-skin-tone
U+1F931 U+1F3FB,🤱🏻,breast-feeding: light skin tone,breast-feeding-light-skin-tone
U+1F931 U+1F3FC,🤱🏼,breast-feeding: medium-light skin tone,breast-feeding-medium-light-skin-tone
U+1F931 U+1F3FD,🤱🏽,breast-feeding: medium skin tone,breast-feeding-medium-skin-tone
U+1F931 U+1F3FE,🤱🏾,breast-feeding: medium-dark skin tone,breast-feeding-medium-dark-skin-tone
U+1F931 U+1F3FF,🤱🏿,breast-feeding: dark skin tone,breast-feeding-dark-skin-tone
U+1F469 U+1F3FB U+200D U+1F37C,👩🏻‍🍼,woman feeding baby: light skin tone,woman-feeding-baby-light-skin-tone
U+1F469 U+1F3FC U+200D U+1F37C,👩🏼‍🍼,woman feeding baby: medium-light skin tone,woman-feeding-baby-medium-light-skin-tone
U+1F469 U+1F3FD U+200D U+1F37C,👩🏽‍🍼,woman feeding baby: medium skin tone,woman-feeding-baby-medium-skin-tone
U+1F469 U+1F3FE U+200D U+1F37C,👩🏾‍🍼,woman feeding baby: medium-dark skin tone,woman-feeding-baby-medium-dark-skin-tone
U+1F469 U+1F3FF U+200D U+1F37C,👩🏿‍🍼,woman feeding baby: dark skin tone,woman-feeding-baby-dark-skin-tone
U+1F468 U+1F3FB U+200D U+1F37C,👨🏻‍🍼,man feeding baby: light skin tone,man-feeding-baby-light-skin-tone
U+1F468 U+1F3FC U+200D U+1F37C,👨🏼‍🍼,man feeding baby: medium-light skin tone,man-feeding-baby-medium-light-skin-tone
U+1F468 U+1F3FD U+200D U+1F37C,👨🏽‍🍼,man feeding baby: medium skin tone,man-feeding-baby-medium-skin-tone
U+1F468 U+1F3FE U+200D U+1F37C,👨🏾‍🍼,man feeding baby: medium-dark skin tone,man-feeding-baby-medium-dark-skin-tone
U+1F468 U+1F3FF U+200D U+1F37C,👨🏿‍🍼,man feeding baby: dark skin tone,man-feeding-baby-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F37C,🧑🏻‍🍼,person feeding baby: light skin tone,person-feeding-baby-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F37C,🧑🏼‍🍼,person feeding baby: medium-light skin tone,person-feeding-baby-medium-light-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F37C,🧑🏽‍🍼,person feeding baby: medium skin tone,person-feeding-baby-medium-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F37C,🧑🏾‍🍼,person feeding baby: medium-dark skin tone,person-feeding-baby-medium-dark-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F37C,🧑🏿‍🍼,person feeding baby: dark skin tone,person-feeding-baby-dark-skin-tone
U+1F47C U+1F3FB,👼🏻,baby angel: light skin tone,baby-angel-light-skin-tone
U+1F47C U+1F3FC,👼🏼,baby angel: medium-light skin tone,baby-angel-medium-light-skin-tone
U+1F47C U+1F3FD,👼🏽,baby angel: medium skin tone,baby-angel-medium-skin-tone
U+1F47C U+1F3FE,👼🏾,baby angel: medium-dark skin tone,baby-angel-medium-dark-skin-tone
U+1F47C U+1F3FF,👼🏿,baby angel: dark skin tone,baby-angel-dark-skin-tone
U+1F385 U+1F3FB,🎅🏻,Santa Claus: light skin tone,santa-claus-light-skin-tone
U+1F385 U+1F3FC,🎅🏼,Santa Claus: medium-light skin tone,santa-claus-medium-light-skin-tone
U+1F385 U+1F3FD,🎅🏽,Santa Claus: medium skin tone,santa-claus-medium-skin-tone
U+1F385 U+1F3FE,🎅🏾,Santa Claus: medium-dark skin tone,santa-claus-medium-dark-skin-tone
U+1F385 U+1F3FF,🎅🏿,Santa Claus: dark skin tone,santa-claus-dark-skin-tone
U+1F936 U+1F3FB,🤶🏻,Mrs. Claus: light skin tone,mrs-claus-light-skin-tone
U+1F936 U+1F3FC,🤶🏼,Mrs. Claus: medium-light skin tone,mrs-claus-medium-light-skin-tone
U+1F936 U+1F3FD,🤶🏽,Mrs. Claus: medium skin tone,mrs-claus-medium-skin-tone
U+1F936 U+1F3FE,🤶🏾,Mrs. Claus: medium-dark skin tone,mrs-claus-medium-dark-skin-tone
U+1F936 U+1F3FF,🤶🏿,Mrs. Claus: dark skin tone,mrs-claus-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F384,🧑🏻‍🎄,mx claus: light skin tone,mx-claus-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F384,🧑🏼‍🎄,mx claus: medium-light skin tone,mx-claus-medium-light-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F384,🧑🏽‍🎄,mx claus: medium skin tone,mx-claus-medium-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F384,🧑🏾‍🎄,mx claus: medium-dark skin tone,mx-claus-medium-dark-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F384,🧑🏿‍🎄,mx claus: dark skin tone,mx-claus-dark-skin-tone
U+1F9B8 U+1F3FB,🦸🏻,superhero: light skin tone,superhero-light-skin-tone
U+1F9B8 U+1F3FC,🦸🏼,superhero: medium-light skin tone,superhero-medium-light-skin-tone
U+1F9B8 U+1F3FD,🦸🏽,superhero: medium skin tone,superhero-medium-skin-tone
U+1F9B8 U+1F3FE,🦸🏾,superhero: medium-dark skin tone,superhero-medium-dark-skin-tone
U+1F9B8 U+1F3FF,🦸🏿,superhero: dark skin tone,superhero-dark-skin-tone
U+1F9B8 U+1F3FB U+200D U+2642 U+FE0F,🦸🏻‍♂️,man superhero: light skin tone,man-superhero-light-skin-tone
U+1F9B8 U+1F3FC U+200D U+2642 U+FE0F,🦸🏼‍♂️,man superhero: medium-light skin tone,man-superhero-medium-light-skin-tone
U+1F9B8 U+1F3FD U+200D U+2642 U+FE0F,🦸🏽‍♂️,man superhero: medium skin tone,man-superhero-medium-skin-tone
U+1F9B8 U+1F3FE U+200D U+2642 U+FE0F,🦸🏾‍♂️,man superhero: medium-dark skin tone,man-superhero-medium-dark-skin-tone
U+1F9B8 U+1F3FF U+200D U+2642 U+FE0F,🦸🏿‍♂️,man superhero: dark skin tone,man-superhero-dark-skin-tone
U+1F9B8 U+1F3FB U+200D U+2640 U+FE0F,🦸🏻‍♀️,woman superhero: light skin tone,woman-superhero-light-skin-tone
U+1F9B8 U+1F3FC U+200D U+2640 U+FE0F,🦸🏼‍♀️,woman superhero: medium-light skin tone,woman-superhero-medium-light-skin-tone
U+1F9B8 U+1F3FD U+200D U+2640 U+FE0F,🦸🏽‍♀️,woman superhero: medium skin tone,woman-superhero-medium-skin-tone
U+1F9B8 U+1F3FE U+200D U+2640 U+FE0F,🦸🏾‍♀️,woman superhero: medium-dark skin tone,woman-superhero-medium-dark-skin-tone
U+1F9B8 U+1F3FF U+200D U+2640 U+FE0F,🦸🏿‍♀️,woman superhero: dark skin tone,woman-superhero-dark-skin-tone
U+1F9B9 U+1F3FB,🦹🏻,supervillain: light skin tone,supervillain-light-skin-tone
U+1F9B9 U+1F3FC,🦹🏼,supervillain: medium-light skin tone,supervillain-medium-light-skin-tone
U+1F9B9 U+1F3FD,🦹🏽,supervillain: medium skin tone,supervillain-medium-skin-tone
U+1F9B9 U+1F3FE,🦹🏾,supervillain: medium-dark skin tone,supervillain-medium-dark-skin-tone
U+1F9B9 U+1F3FF,🦹🏿,supervillain: dark skin tone,supervillain-dark-skin-tone
U+1F9B9 U+1F3FB U+200D U+2642 U+FE0F,🦹🏻‍♂️,man supervillain: light skin tone,man-supervillain-light-skin-tone
U+1F9B9 U+1F3FC U+200D U+2642 U+FE0F,🦹🏼‍♂️,man supervillain: medium-light skin tone,man-supervillain-medium-light-skin-tone
U+1F9B9 U+1F3FD U+200D U+2642 U+FE0F,🦹🏽‍♂️,man supervillain: medium skin tone,man-supervillain-medium-skin-tone
